iter	Passed	Remaining
0	526	526468
1	612	305667
2	696	231365
3	779	194194
4	864	172099
5	948	157078
6	1029	146043
7	1108	137456
8	1193	131406
9	1274	126187
10	1353	121696
11	1434	118079
12	1515	115074
13	1593	112236
14	1672	109842
15	1757	108055
16	1834	106090
17	1913	104418
18	1991	102849
19	2070	101465
20	2150	100253
21	2232	99229
22	2313	98279
23	2394	97366
24	2472	96410
25	2551	95595
26	2632	94881
27	2718	94364
28	2801	93795
29	2880	93142
30	2977	93066
31	3055	92418
32	3132	91790
33	3208	91168
34	3337	92008
35	3477	93128
36	3604	93826
37	3708	93873
38	3807	93825
39	3890	93369
40	3968	92833
41	4048	92353
42	4126	91832
43	4206	91396
44	4285	90947
45	4364	90515
46	4443	90105
47	4519	89635
48	4600	89284
49	4677	88876
50	4753	88443
51	4832	88093
52	4910	87741
53	4986	87356
54	5067	87067
55	5144	86727
56	5224	86431
57	5300	86080
58	5383	85862
59	5464	85611
60	5544	85350
61	5624	85100
62	5734	85295
63	5854	85623
64	5955	85671
65	6075	85975
66	6184	86126
67	6285	86145
68	6364	85869
69	6455	85770
70	6533	85486
71	6611	85221
72	6689	84953
73	6769	84709
74	6853	84530
75	6935	84317
76	7015	84100
77	7128	84268
78	7256	84602
79	7369	84747
80	7478	84848
81	7580	84869
82	7663	84666
83	7741	84419
84	7823	84218
85	7901	83980
86	7980	83750
87	8057	83502
88	8133	83251
89	8212	83036
90	8297	82885
91	8374	82652
92	8454	82453
93	8537	82289
94	8614	82061
95	8697	81904
96	8769	81641
97	8851	81466
98	8925	81234
99	9004	81042
100	9087	80887
101	9165	80691
102	9240	80475
103	9317	80272
104	9407	80185
105	9526	80349
106	9647	80513
107	9762	80634
108	9882	80784
109	9976	80717
110	10057	80553
111	10132	80335
112	10217	80202
113	10295	80018
114	10370	79806
115	10446	79611
116	10521	79406
117	10596	79207
118	10676	79045
119	10754	78866
120	10830	78677
121	10908	78508
122	10984	78318
123	11059	78130
124	11134	77944
125	11209	77754
126	11289	77604
127	11363	77415
128	11443	77263
129	11586	77541
130	11705	77651
